,average_compound,perc_pos,perc_neg,perc_neut,perc_esg_phrases
BankOfAmerica2019,0.01818181818181818,0.01818181818181818,0.0,0.9818181818181818,0.11823647294589178
BankOfAmerica2020,0.019230769230769232,0.019230769230769232,0.0,0.9807692307692307,0.12121212121212122
BankOfAmerica2021,0.019230769230769232,0.019230769230769232,0.0,0.9807692307692307,0.12614678899082568
BankOfAmerica2022,0.018867924528301886,0.018867924528301886,0.0,0.9811320754716981,0.12903225806451613
BeyondMeat2019,0.010282776349614395,0.26735218508997427,0.2570694087403599,0.4755784061696658,0.1339858251771853
BeyondMeat2020,-0.03563941299790356,0.23060796645702306,0.2662473794549266,0.5031446540880503,0.138787023977433
BeyondMeat2021,-0.04573804573804574,0.23492723492723494,0.2806652806652807,0.48440748440748443,0.13462559745087627
BeyondMeat2022,-0.15765765765765766,0.20495495495495494,0.36261261261261263,0.43243243243243246,0.12574044157242864
Campbell2019,-0.10824742268041238,0.07474226804123711,0.18298969072164947,0.7422680412371134,0.1392757660167131
Campbell2020,-0.05483028720626632,0.10443864229765012,0.15926892950391644,0.7362924281984334,0.1416903409090909
Campbell2021,-0.06353591160220995,0.13535911602209943,0.19889502762430938,0.6657458563535912,0.16268980477223427
Campbell2022,-0.09302325581395349,0.13662790697674418,0.22965116279069767,0.6337209302325582,0.15642701525054467
Chevron2019,-0.05045871559633028,0.06422018348623854,0.11467889908256881,0.8211009174311926,0.08082575227431771
Chevron2020,-0.046875,0.09375,0.140625,0.765625,0.08967571144937128
Chevron2021,0.039711191335740074,0.1588447653429603,0.11913357400722022,0.7220216606498195,0.10017152658662093
Chevron2022,0.04868913857677903,0.15355805243445692,0.10486891385767791,0.7415730337078652,0.09455395923822252
Citigroup2019,-0.013681592039800995,0.06218905472636816,0.07587064676616916,0.8619402985074627,0.08512553766129839
Citigroup2020,-0.05583756345177665,0.06395939086294417,0.11979695431472082,0.8162436548223351,0.09550045913682277
Citigroup2021,-0.04196519959058342,0.06345957011258956,0.10542476970317298,0.8311156601842374,0.09049615653389238
Citigroup2022,-0.0320962888665998,0.06519558676028084,0.09729187562688064,0.8375125376128385,0.09493104065914383
ConocoPhillips2019,-0.08396946564885496,0.0916030534351145,0.17557251908396945,0.732824427480916,0.033707865168539325
ConocoPhillips2020,-0.03642384105960265,0.1456953642384106,0.18211920529801323,0.6721854304635762,0.039373040752351096
ConocoPhillips2021,0.03857566765578635,0.16913946587537093,0.13056379821958458,0.7002967359050445,0.08464328899637243
ConocoPhillips2022,-0.005797101449275362,0.15072463768115943,0.1565217391304348,0.6927536231884058,0.09015984015984016
Ford2019,-0.08898305084745763,0.05508474576271186,0.1440677966101695,0.8008474576271186,0.11200897867564534
Ford2020,-0.1017274472168906,0.09021113243761997,0.19193857965451055,0.7178502879078695,0.11653576735300361
Ford2021,-0.09826589595375723,0.08092485549132948,0.1791907514450867,0.7398843930635838,0.10694662480376767
